vol_num,book_title,author_name,book_contents,cover_file_path,audiobook_path
1,The Invasion,Applegate,"Chapter 1
My name is Jake. That's my first name, obviously. I can't tell you my last name. It would be too
dangerous. The Controllers are everywhere. Everywhere. And if they knew my full name, they could
find me and my friends, and then . . . well, let's just say I don't want them to find me. What they do to
people who resist them is too horrible to think about.
I won't even tell you where I live. You'll just have to trust me that it is a real place, a real town.
It may even be your town.
I'm writing this all down so that more people will learn the truth. Maybe then, somehow, the
human race can survive until the Andalites return and rescue us, as they promised they would.
Maybe.
My life used to be pretty normal. Normal, that is, until one Friday night at the mall. I was there
with Marco, my best friend. We were playing video games and hanging out at this cool store that sells
comic books and stuff. The usual.
Marco and I had run out of quarters for the games, right when he was ahead by a lot of points.
Mostly, we're equally good at games. I have Sega at home so I get lots of practice time in, but Marco
has this amazing ability to analyze games and figure out all the little tricks. So sometimes he beats me.
Or maybe I just wasn't concentrating very well. I'd had kind of a bad day at school. I'd tried out
for the basketball team and I didn't make the cut.
It was like no big deal, really. Except that Tom - he's my big brother - he was this total legend on
the junior high basketball team. Now he's the main scorer for the high school team. So everyone
expected me to make the team easy. Only I didn't.
Like I said, no big thing. But it was on my mind, just the same. Lately, Tom and I hadn't been
hanging out as much. Not like we used to. So I figured, you know, if I got his old position on the team .
. .
Well, anyway, we were out of money and getting ready to head home when we ran into Tobias.
Tobias was . . . I mean, I guess he still is kind of a strange guy. He was new at school, and he wasn't
the toughest kid around, so he got picked on a lot.
I actually met Tobias when he had his head in a toilet. There were these two big guys holding
him down and laughing while they flushed, sending Tobias's straggly blond hair swirling around the
bowl. I told the two creeps to step off, and ever since then, Tobias figured I was his friend.
""What's up?"" Tobias asked.
I shrugged. ""Not much. We're heading home.""
""Out of quarters,"" Marco commented. ""Certain people keep forgetting that the SleazeTroll shows
up right after you cross the Nether Fjord. So certain people keep losing the game - and losing our
quarter."" Marco kept jerking his thumb at me, just in case Tobias couldn't figure out who he meant by
""certain people.""
""So, like maybe I'll walk home with you guys,"" Tobias said.
I said sure. Why not?
We were heading for the exit when I spotted Rachel and Cassie. Rachel is kind of pretty, I guess.
I mean, okay, she's very pretty, although, since she is my cousin, I don't really think about her that way.
She has blond hair and blue eyes and that kind of very clean, very wholesome look. She's one of those
people who always know the right clothes to wear and how to look like they just walked out of one of
those fashion magazines girls like. She's also very graceful because she takes gymnastics, even though",Ani 01.0 - The Invasion - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_01.0___The_Invasion___K._A._Applegate.mp3
2,The Visitor,Applegate,"Chapter 1
My name is Rachel. I won’t tell you my last name. None of us will ever tell you our last names.
Whenever I do use a last name, it’s a fake. Sorry, but that’s the way it has to be. And we won’t tell
you the name of our town, or our school, or even what state we are in. If I told you my last name, the
Yeerks would be able to find my friends and me. And if they ever find us, it will be the end.
They might kill us. Or worse.
Yes, there really is something worse than death.
I’ve seen it. I’ve heard the cries of despair from those doomed to be slaves of the Yeerks.
I’ve watched as the evil gray slugs writhe and squeeze in through the ear and take over what was
a free human being.
There are five of us. Just five: Jake, Cassie, Marco, Tobias, and me. Marco came up with a name
for us, for what we are now. He called us Animorphs.
I guess that’s as good a name as any for what we are. Mostly, I still just feel like a normal kid,
you know? But I guess normal kids don’t turn into elephants or bald eagles. And normal kids don’t
spend their free time fighting to save the world from the nightmares called Yeerks.
That day, the sun was bright. It warmed the earth below us. Warm air rose in an invisible bubble,
a thermal. The thermal pushed up beneath our wings and we circled higher and higher and higher, till
it almost seemed we could touch space.
Somewhere up there in cold space, up in orbit, was the Yeerk mother ship. Perhaps right over
our heads.
The Yeerks were parasites. In their natural state they were just big slugs who lived in a sludgy
pond called a Yeerk pool. But the Yeerks have the power to take over other bodies. They have
enslaved many races throughout the galaxy - the Taxxons, the Hork-Bajir, and others. And now they
had come to Earth, looking for more bodies to control.
Who was there to try and stop them? Well, off in space, there were the Andalites. But the
Andalites were far away, and it would take them a long time to come to rescue the people of Earth.
On Earth, no one knew of the Yeerks. No one but five kids who were having fun being birds and
riding the thermals.
I looked over at my friends. Some were a little way below, some were higher up. Jake was
flapping his wings a little more than the rest of us. He had adopted a falcon morph. Falcons don’t soar
quite as well as hawks or eagles.
Tobias was the smoothest flyer. That was partly because red-tailed hawks are natural acrobats.
Partly it was because Tobias had much more practice flying than the rest of us.
Too much practice.
<Okay, Tobias, you were right. This is the coolest thing in the world,> I said.
<Want to try a dive? It’s amazing,> he said.
I wasn’t exactly sure that I wanted to dive, but what could I say? I don’t usually turn down a
challenge. So I said, <Sure.>
<Follow me.>
Tobias bent his wings back and plummeted toward the ground like a bullet.
I tucked my wings back and went after him.
The ground came rushing up at me.
I was falling! Falling, with nothing at all to stop me from splatting right into the ground!",Ani 02.0 - The Visitor - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_02.0___The_Visitor___K._A._Applegate.mp3
3,The Encounter,Applegate,"Chapter 1
My name is Tobias. A freak of nature. One of a kind.
I won’t tell you my last name. I can’t tell you my last name. Or the name of the city where I live.
I want to tell you everything, but I can’t give any clues to my true identity. Or the identity of the
others. Everything I will tell you is true. I know it’s going to seem unbelievable, but believe it
anyway.
I am Tobias. I’m a normal kid, I guess. Or used to be. I used to do okay in school. Not great, but
not bad either. Just okay.
I guess I was a dweeb, kind of. Big, but not big enough to keep from getting picked on. I had
blond hair, kind of wild because I could never get it to look right. My eyes were … what color were
my eyes? It’s only been a few weeks, and already I’m forgetting things about being human.
I guess it doesn’t matter, anyway. My eyes now are gold and brown. I have eyes that look fierce
and angry all the time. I’m not always fierce or angry, but I look that way.
One afternoon, I was riding the thermals, the upswelling hot air. I rode them way up into the sky.
The bottoms of low clouds, heavy with moisture, scudded just a few feet above me.
I looked down and focused my laserlike eyes. My fierce eyes, I could still read - I hadn’t
forgotten how to do that. I could see the big red-and-white sign that said: DEALIN’ DAN HAWKE’S USED
CARS.
I pressed my wings back, closer to my body, and began to fall.
Down, down, down! Faster. Faster!
I fell through the warm, early evening air like a rock. Like an artillery shell falling toward its
target.
All was silent except for the sound of the air rushing over the tops of my wings. The ground
came up at me. It came up like it was trying to hit me.
I saw the cage. It was no more than three feet on each side. In the cage was a hawk. A redtail.
Like me.
The man was close by. I recognized him because I had seen him on his TV commercials. He was
Dealin’ Dan Hawke. He owned the car dealership.
He was the one holding the hawk prisoner.
She was a mascot. On the commercials he called her Price-Cut Polly. It made me sick. It made
me furious.
I saw the camera. There were three guys standing around. They would be shooting a live
commercial soon. I didn’t care.
Dealin’ Dan went to the hawk’s cage to feed her. It was locked with a bike-style combination
lock. Four numbers. I could see them as he turned the combination. 8-1-2-5.
I was two hundred yards up, plummeting to earth at seventy miles an hour. But I could see the
numbers as he turned them. And the human part of me, Tobias, could remember.
He opened the cage and tossed in some food. Then he closed it again and spun the lock. Brilliant
lights came on. He was starting the commercial. It would be live on TV all over the area.
What I was planning was insane. That’s what Marco would have said. It was one of his favorite
words. Insane.
I didn’t care.
A hawk was in a tiny cage, being used as a prop for some lowlife car dealer. That wasn’t going
to go on. Not if I could help it.",Ani 03.0 - The Encounter - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_03.0___The_Encounter___K._A._Applegate.mp3
4,The Message,Applegate,"Chapter 1
My name is Cassie.
I can’t tell you my last name. I wish I could. But I can’t even tell you what town I live in or what
state. We have to disguise our identities, we Animorphs. It’s not about being shy. It’s about staying
alive.
If the Yeerks ever learn who we are, we’ll be done for. If they don’t kill us outright, they’ll make
us Controllers. They’ll force a Yeerk slug into our brains, where it will take control of us, making us
slaves - tools of the Yeerk invasion of Earth.
And I really don’t like the idea of being under the control of an alien. I don’t like the idea of
being dead, either.
On the other hand, there are some things I do like about being an Animorph. Some very cool
things.
Take the other night. It was late. I should have been in bed. Instead I was in the barn, getting
ready to turn into a squirrel.
Technically, the barn is really the Wildlife Rehabilitation Clinic. My dad is a vet. So is my mom,
but she works at The Gardens, this big zoo. The Wildlife Rehabilitation Clinic is just my dad and me.
We take in injured birds and animals and try to save them, then release them back into their natural
habitats.
That’s where I was. In the barn. Surrounded by dozens of cages full of birds, from a mourning
dove who’d run into a car windshield to a golden eagle who’d almost been electrocuted by a power
line.
In another part of the barn we have bigger cages for the badgers and opossums and skunks and
deer and even a pair of wolves who’d been poisoned. At the other end (far from the wolves) we keep
our own horses.
There’s an operating room and a couple of small recovery rooms, too.
Back to that night. Have you ever watched a squirrel in the park? They are constantly alert.
Constantly looking around. It’s like every minute of every day they’re thinking, “Hey! What’s that?”
So I knew that if I morphed into a squirrel, all that nervousness and fear would become a part of
me. It’s something we’ve all had to deal with: controlling the animal instincts, the animal mind that
comes along with the animal body.
Anyway, that’s where I was, in a gloomy barn with just the yellow overhead bulbs to light the
room. Why was I there? Because someone, or something, had been sneaking in and getting at the
birds. We’d lost a patient just the night before. A duck.
And because I couldn’t sleep, anyway. I kept having these dreams. Only they weren’t like normal
dreams, somehow. More like … I don’t know. Just really strange, that’s all.
“Relax, Magilla,” I whispered to the squirrel in my hands. “This won’t hurt at all.” I pulled
some chestnuts from my pocket and handed him one. Another nut fell to the floor.
Some morphs are easy. Some are terrifying. When I was a horse, that was cool. When I had to
become a trout, well, that was a little more weird. The whole time I just kept thinking how someone
could fry me and serve me with tartar sauce.
And I don’t like tartar sauce.
“Squirrel,” I told myself. I always try to get into the feeling of what it might be like to be the
animal before I even start morphing.",Ani 04.0 - The Message - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_04.0___The_Message___K._A._Applegate.mp3
5,The Predator,Applegate,"Chapter 1
My name is Marco.
I can’t tell you my last name or where I live. Believe me, I wish I could. I would like nothing
more than to be able to tell you my name is Marco Jones or Williams or V
asquez or Brown or
Anderson or McCain.
Marco McCain. Has kind of a nice sound, doesn’t it?
But McCain’s not my last name. I’m not even going to swear to you that Marco is my first name.
See, I’m hoping to live awhile longer. I’m not going to make it any easier for the Yeerks to find me.
I live in a paranoid world. But just because I’m paranoid doesn’t mean I don’t have enemies.
I have real enemies. Enemies that would freeze your blood if you only knew.
So, see, I’d like to tell you my name, and address, and phone number, too, because if I could do
that, it would mean I no longer had any enemies. It would mean my life was normal again. It would
mean I could go back to minding my own business.
I believe in minding my own business.
Which is why what happened on my way home from the 7-Eleven was so dumb.
I was walking down the street with some low-fat milk, a loaf of bread, and a bag of peanut
M&M’s. Since my mom died, I’ve gotten stuck with a lot of the shopping and stuff for my dad and me.
This 7-Eleven isn’t in the greatest neighborhood, so I was walking kind of fast, minding my own
business, trying not to think about the fact that it was after ten at night.
Then I heard it.
“Just don’t hurt me, just don’t hurt me.”
It was a man’s voice. An old man, from the sound of it. It was coming from a dark alley.
I hesitated. I stopped. I pressed myself back against the cold brick wall of the building and
listened.
“Just gimme the money, old man, don’t make me hurt you,” a second voice said. A younger
voice. A tough voice.
“I gave you all of it!” the old man cried.
Then the punk said something I can’t repeat. Basically, he was getting ready to pound the old
man. I heard other voices. Three punks total. It didn’t look good for the old man.
“This is totally not your problem, Marco,” I told myself. “Stay out of it. Don’t be an idiot.”
Three punks. Each of them probably twice as big as I was. I’m not exactly Arnold
Schwarzenegger. I’m not even average height for my age, although I make up for it by being incredibly
cute.
And charming. And witty. And modest.
But I was pretty sure the three big gang members in that alley were not going to be very
impressed by my cuteness.
Fortunately, I have other abilities.
It had been a while since I had done this particular morph, but as I concentrated, I could feel it
coming back. I slipped into the opening of the alley and hid in the shadow of a very smelly Dumpster.
The first thing that happened was the fur. It sprouted quickly from my arms and legs and all down
my body. Thick, rough, ragged, black fur. It grew long on my arms and back and head. It was shorter
everywhere else.
My jaw bulged forward. I could hear the bones in my jaw grind as they stretched and the",Ani 05.0 - The Predator - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_05.0___The_Predator___K._A._Applegate.mp3
6,The Capture,Applegate,"Chapter 1
I’m Jake.
Just Jake. You don’t need to know my last name, and I can’t tell you, anyway. My story is full of
small lies. I’ve changed people’s names. I’ve changed the names of places. I’ve changed small details
here and there.
But the big stuff is true.
All of it.
The Yeerks are here. On Earth. That is true.
The Yeerks have made Controllers of many humans. They have inserted their gross, sluglike
bodies into people’s brains, and made them into slaves - Controllers. That is true.
Controllers are everywhere. My town. Your town. Everywhere.
They can be anyone. The policeman on the corner. The teacher in your school. Your best friend.
Your mother or father. Your brother.
I know. Because my brother Tom is one of them.
Tom is a Controller. A slave to the Yeerk in his head. If he knew who I really was - what I really
was - he would have me killed. Or turned into a Controller, like him.
That’s what my world is like now. A world where the enemy is everywhere. Even sitting across
from me at the breakfast table on a Saturday morning, which is when this part of the story begins.
“Hey, midget, what’s up?” Tom asked as I sat down. That’s one of the things he calls me.
Actually I’m kind of big for my age. Almost as big as Tom. But it’s a joke we’ve had for years. You
know how it is.
“Not much,” I said. “What’s up with you?”
“Oh, I’m going to a meeting.”
“The Sharing?” I asked, trying to sound casual. The Sharing is this group that tries to pretend like
it’s some kind of combined Boy Scouts and Girl Scouts. It’s really a front organization for
Controllers. The leadership council of The Sharing is made up of high-ranking Controllers.
“Yeah. We’re doing some cleanup in the park. You know, do our part for the community and all.
Then we’re having a barbecue afterward.” He gave me a serious look. “You really should join, you
know. We’d get to spend more time together.”
I felt a wave of sickness. I tried not to show it. It wasn’t Tom talking. It was the Yeerk in his
head. The Yeerk who wanted to take my body and use it as a host for one of his fellow slugs.
As I sat there across the table from him, I was trying to decide something. I was trying to decide
whether I would have to ever destroy him. Destroy my brother, who was not my brother. Not
anymore.
“Maybe I will join some day,” I said. Like when hell freezes over, I added silently. I poured
myself some Wheaties and milk. “So you’ll be out for a while?”
“All morning. Mom and Dad are out playing tennis, you’ll have the house to yourself. Throw a
party.”
“Uh-huh,” I said, and spooned up some cereal.
It was hard not to just yell at him. To let him know that I knew all about him. What he was. What
he was doing.
At least, some of what he was doing. I had been spying on my brother. He was rising fast in the
leadership of The Sharing. He was a very loyal Controller. The Yeerk in his head had been promoted.",Ani 06.0 - The Capture - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_06.0___The_Capture___K._A._Applegate.mp3
7,The Stranger,Applegate,"Chapter 1
My name is Rachel.
And you know the drill. I’m not going to tell you my last name. I’m not going to tell you where I
live. I’ll tell you all I can, because you need to know what’s going on. You need to know what’s
happening.
But I need to stay alive. And if the Yeerks knew who I was, I would be dead.
Or worse.
The Yeerks are here. That’s what you need to know.
People look up at the stars at night and wonder what it would be like if creatures from another
planet ever landed on Earth.
Well, you can stop wondering. It’s happened. The Yeerks are parasites. They live in the brains of
other species - humans, for example. They turn human beings into mindless slaves - human-
Controllers.
So when I say that the aliens are here, don’t go looking around for some cute little thing like E.T.
You won’t see the Yeerks. They are parasitic worms, evil gray slugs that live in the heads of humans.
They can be in anyone. Your best friend. Your favorite teacher. The mayor of your town. Your
brother. Sister. Mother. Father.
Anyone might be a Controller. Y
ou might be a Controller.
So I won’t tell you my last name. Or where I live. But I will tell you the truth. The truth that only
the Animorphs know.
Animorph. Animal morpher. A human capable of becoming any animal. It’s our one weapon
against the Yeerks. Our only power. Without it, we’re just five regular kids.
But with that power comes certain extra responsibilities … as I was trying to explain to my best
friend, Cassie.
It was a Sunday night. It was late. The circus had finished its last show. Their trailers and tents
were clustered around the back side of the big City Arena. The Arena is a place where they hold rock
concerts and ice shows and play basketball games. And where they have circuses.
“Look, we both saw what we saw,” I told Cassie. “Are you telling me it doesn’t make you mad?
That jerk using a cattle prod on an elephant doesn’t make you mad?”
“Of course it does, Rachel,” Cassie said. “I don’t even like circuses.”
“I don’t, either. But my dad had tickets, and it was our big once-every-other-week, father-and-
daughters thing. I had to come.”
My dad had taken my sisters and me to see the circus earlier in the evening. See, my mom and
dad are divorced, so my dad does these little outings where we all get together every second
weekend. Sometimes it’s just me and my dad. Like when we go hiking together, or go to ball games or
gymnastics events. Those are all things my dad and I like, but Jordan and Sara, my sisters, don’t.
My little sisters loved the circus, but it’s not my kind of thing. I guess I’m too old. That’s why I
dragged Cassie along. So I’d have someone to talk to when my sisters were getting all excited over
the clowns and stuff.
Still, it was an opportunity to spend time with my dad, which I enjoy. I don’t get to see him as
much as I wish I could. Everyone always says how much I’m like him. How he’s kind of reckless, and
so am I. He always seems so sure of himself, and I guess people think I’m that way, too. We’re even
both into gymnastics. My dad almost made the U.S. Olympic team when he was younger.",Ani 07.0 - The Stranger - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_07.0___The_Stranger___K._A._Applegate.mp3
7.5,Megamorphs #1  The Andalite's Gift,Applegate,"Chapter 38 - Jake
Chapter 39 - Cassie
Chapter 40 - Tobias
Chapter 41 - Cassie
Chapter 42 - Tobias
Chapter 43 - Cassie
Chapter 44 - Rachel",Ani 07.5 - Megamorphs #1_ The Andalite's Gift - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_07.5___Megamorphs_#1__The_Andalite's_Gift___K._A._Applegate.mp3
8,The Alien,Applegate,"Prologue
Before Earth …
<Prepare for return to normal space,> Captain Nerefir said in thought-speak.
I was on the bridge of our Dome ship. It was an amazing moment. I had never been on the bridge
before. I’d always been stuck in my quarters, or up in the dome. It was an honor to be on the battle
bridge with the full warriors, the princes, and the captain himself.
It was because I was Elfangor’s little brother. An aristh like me, a warrior-cadet, wouldn’t have
been on the bridge otherwise.
Especially not an aristh who had once run into Captain Nerefir so hard he’d fallen over and
ended up bruising one of his eye stalks. It was an accident, but still, it’s just not a good idea for lowly
cadets to go plowing into great heroes.
But everyone loved Elfangor, so they had to tolerate me. That’s the story of my life. If I live two
hundred years, I’ll probably still be known as Elfangor’s little brother.
We came out of Z-space or Zero-space, a realm of white emptiness, back into normal space.
Through the monitors I saw nothing but blackness dotted with stars. And there, just ahead of us, no
more than a half-million miles away, was a small, mostly blue planet.
<Is that Earth?> I asked Elfangor. <I didn’t realize there was so much water. Can you get Old
Hoof and Tail to let me go down to the planet with you?>
<Aximili, shut up!> Elfangor said quickly. He looked slightly sick and cast a dubious glance at
Captain Nerefir.
I guess I had been thought-speaking a little loudly. Elfangor was worried that War-Prince Nerefir
might have overheard. But I was sure I hadn’t been that loud. I mean, I really didn’t think that -
<Old Hoof and Tail, eh?> Captain Nerefir said. <Is that what they call me?>
Elfangor shot me a poisonous look. <I’m sure this aristh didn’t mean any disrespect.>
I think my brother would have liked to throw me out of the nearest airlock right at that moment.
Slowly Nerefir turned his two main eyes toward me. He was a frightening old Andalite. A great
warrior. A great hero. Elfangor’s idol. <Ah, it’s the ruffian. The wild brat who knocked me over.> He
nodded. <Old Hoof and Tail, is it? Well. I kind of like the name.> He slowly winked one eye at
Elfangor. <I suppose we’ll have to let the ruffian live.>
Suddenly …
<Yeerks! We have a Yeerk mother ship in orbit over the planet!> the warrior at the sensor station
cried.
<They’re launching fighters! I count twelve Yeerk Bug fighters,> another warrior cried.
<They’re on an intercept course. They’ll be in firing range in twelve Earth minutes.>
Captain Nerefir turned his face and his main eyes toward my brother, while his stalk eyes kept
watch on the monitors. The humor was gone from his face. <Prince Elfangor? It is time. Launch all
fighters.>
But Elfangor hadn’t waited for orders. He was already halfway out the door. My tail banged into
the doorway as I plowed after him.
<Get to the dome, Aximili,> Elfangor said.
<But I want to fight!> I said. <I can fly a fighter as well as ->
<Do not argue with me, Aximili. Arisths do not go into battle. You are not a full warrior yet. Go",Ani 08.0 - The Alien - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_08.0___The_Alien___K._A._Applegate.mp3
9,The Secret,Applegate,"Chapter 1
My name is Cassie.
I can’t tell you my last name. I wish I could. It’s kind of a nice last name.
And I can’t tell you where I live or the true names of my friends. Why? Because the enemy never
stops looking for us.
The enemy. The Yeerks. They’re everywhere.
The Yeerks: a parasitic species from a far-distant planet. All they are is little gray slugs, really.
I’ve seen them in their natural state. They look like big snails without the shell. You could squash one
under your foot and it would be helpless to stop you.
But the Yeerks don’t live out their lives as slugs. Like I said, they are parasites. See, they enter
the head of another species, flatten themselves out, and wrap themselves around the brain. And then
they take control.
That’s what we call a Controller. A human who isn’t exactly human anymore. Or a member of
any species that is controlled by the Yeerk in its head.
Maybe you think what I’ve just told you sounds crazy. I guess if I were you, I’d think it was
pretty insane. But sometimes even the craziest things happen to be true.
The Yeerks are here. Everywhere. If you think you don’t know someone who is a Controller,
you’re probably wrong.
The school bus driver, the police officer in the patrol car, the minister in the pulpit, the newsman
on TV
, the rock star in the music video, the person who smiles at you when you ride by on your bike -
any one of them might be a Controller. Your teacher, your friend, your sister, your mother and father.
Any of them. All of them. And you’ll never know. Until it’s too late.
Until it is too late for planet Earth.
We fight them. But we’re just a handful of kids - Jake, Rachel, Marco, Tobias, Ax, and me. We
have some special powers, but we know we can’t win this alone. We fight in the hope that someday -
someday soon - the Andalites will return and help us.
It was an Andalite prince named Elfangor who gave us our powers. He was dying. He was
desperate. He wanted to do something to help doomed humanity.
He gave us the power to morph. To absorb the DNA of any animal we could touch. To become
that animal.
So we fight the Yeerks and all their Controllers. The human-Controllers who may once have
been our friends and relations. The evil, cannibalistic Taxxon-Controllers, those huge centipedes with
their open, gnashing mouths and foul smell. And the deadly, dangerous, but formerly good creatures
called Hork-Bajir - the enslaved foot soldiers of the Yeerk empire.
And we fight Visser Three. Leader of the Yeerk invasion of Earth. The only Andalite-Controller
in existence. The only Yeerk who, like us, has the power to morph.
The murderer of Elfangor. A killer. A destroyer. The creature who would make slaves of all
humans and destroy our planet.
Unless someone stops him. Unless we stop him.
Five ordinary kids and a young Andalite we call Ax, against all the might of the Yeerk empire.
We call ourselves Animorphs.
We’re only supposed to use our power for fighting the Yeerks. But there are times when it comes
in handy for other things.",Ani 09.0 - The Secret - K. A. Applegate_cover.png,C:\Users\Admin\MS587 Web and SQL\MS587-Assignment-3\MS587-Assignment-3\Animorphs\story_texts\Ani_09.0___The_Secret___K._A._Applegate.mp3
